source,target,rating,timestamp,datetime,prev_txn_time,time_diff_sec,sender_txn_count,receiver_txn_count,sender_avg_rating,receiver_avg_rating,unique_receivers
1,15,1,1289243140,2010-11-08 19:05:40,0,0,1,1,1,1,1
1,5,4,1289710643,2010-11-14 04:57:23,05:40.4,467502.8091,2,1,2.5,4,2
1,32,1,1290666953,2010-11-25 06:35:53,57:23.2,956310.2321,3,1,2,1,3
1,34,1,1290750434,2010-11-26 05:47:14,35:53.4,83480.58074,4,1,1.75,1,4
1,17,9,1290969237,2010-11-28 18:33:57,47:14.0,218802.7677,5,1,3.2,9,5
1,31,2,1291052765,2010-11-29 17:46:05,33:56.8,83527.93435,6,1,3,2,6
1,13,3,1291090931,2010-11-30 04:22:11,46:04.7,38165.98027,7,1,3,3,7
1,20,2,1291505266,2010-12-04 23:27:46,22:10.7,414335.6151,8,1,2.875,2,8
1,54,1,1292196392,2010-12-12 23:26:32,27:46.3,691125.9048,9,1,2.666666667,1,9
1,56,2,1292957196,2010-12-21 18:46:36,26:32.2,760803.5,10,1,2.6,2,10
1,71,1,1293481238,2010-12-27 20:20:38,46:35.7,524042.4383,11,1,2.454545455,1,11
1,74,1,1293579274,2010-12-28 23:34:34,20:38.2,98035.85704,12,1,2.333333333,1,12
1,78,1,1293749574,2010-12-30 22:52:54,34:34.0,170299.8242,13,1,2.230769231,1,13
1,68,2,1294083688,2011-01-03 19:41:28,52:53.8,334114.5346,14,1,2.214285714,2,14
1,81,1,1294982042,2011-01-14 05:14:02,41:28.4,898353.8663,15,1,2.133333333,1,15
1,101,1,1295163874,2011-01-16 07:44:34,14:02.2,181831.7569,16,1,2.0625,1,16
1,119,1,1296512103,2011-01-31 22:15:03,44:34.0,1348228.978,17,1,2,1,17
1,2,8,1296629344,2011-02-02 06:49:04,15:03.0,117240.6511,18,1,2.333333333,8,18
1,76,2,1296631215,2011-02-02 07:20:15,49:03.6,1871.49395,19,1,2.315789474,2,19
1,23,6,1296657671,2011-02-02 14:41:11,20:15.1,26455.98551,20,1,2.5,6,20
1,138,1,1297373817,2011-02-10 21:36:57,41:11.1,716145.9972,21,1,2.428571429,1,21
1,110,1,1297627293,2011-02-13 20:01:33,36:57.1,253476.0037,22,1,2.363636364,1,22
1,145,1,1297789864,2011-02-15 17:11:04,01:33.1,162570.794,23,1,2.304347826,1,23
1,114,2,1298061894,2011-02-18 20:44:54,11:03.9,272029.8464,24,1,2.291666667,2,24
1,111,2,1298062294,2011-02-18 20:51:34,44:53.7,400.74244,25,1,2.28,2,25
1,7,9,1298267256,2011-02-21 05:47:36,51:34.5,204961.9369,26,1,2.538461538,9,26
1,165,1,1298487310,2011-02-23 18:55:10,47:36.4,220053.8033,27,1,2.481481481,1,27
1,19,6,1298950354,2011-03-01 03:32:34,55:10.2,463044.0247,28,1,2.607142857,6,28
1,223,7,1301329949,2011-03-28 16:32:29,32:34.2,2379594.669,29,1,2.75862069,7,29
1,225,1,1301354601,2011-03-28 23:23:21,32:28.9,24652.36998,30,1,2.7,1,30
1,132,1,1301366233,2011-03-29 02:37:13,23:21.3,11631.81692,31,1,2.64516129,1,31
1,227,1,1301369843,2011-03-29 03:37:23,37:13.1,3610.17876,32,1,2.59375,1,32
1,104,1,1301600149,2011-03-31 19:35:49,37:23.3,230306.098,33,1,2.545454545,1,33
1,64,3,1301975394,2011-04-05 03:49:54,35:49.4,375244.9655,34,1,2.558823529,3,34
1,245,1,1302017978,2011-04-05 15:39:38,49:54.3,42583.87585,35,1,2.514285714,1,35
1,247,1,1302043778,2011-04-05 22:49:38,39:38.2,25799.61027,36,1,2.472222222,1,36
1,234,1,1302237680,2011-04-08 04:41:20,49:37.8,193901.8524,37,1,2.432432432,1,37
1,251,2,1302292174,2011-04-08 19:49:34,41:19.7,54494.26498,38,1,2.421052632,2,38
1,260,1,1302449430,2011-04-10 15:30:30,49:33.9,157256.2286,39,1,2.384615385,1,39
1,261,1,1302453500,2011-04-10 16:38:20,30:30.2,4069.60857,40,1,2.35,1,40
1,109,1,1302729570,2011-04-13 21:19:30,38:19.8,276069.8316,41,1,2.317073171,1,41
1,271,1,1302800924,2011-04-14 17:08:44,19:29.6,71354.57753,42,1,2.285714286,1,42
1,274,1,1302847190,2011-04-15 05:59:50,08:44.2,46265.56642,43,1,2.255813953,1,43
1,141,1,1302881463,2011-04-15 15:31:03,59:49.8,34273.45624,44,1,2.227272727,1,44
1,296,1,1303161462,2011-04-18 21:17:42,31:03.2,279998.7379,45,1,2.2,1,45
1,180,1,1303356387,2011-04-21 03:26:27,17:42.0,194924.9644,46,1,2.173913043,1,46
1,311,1,1303486160,2011-04-22 15:29:20,26:26.9,129773.0501,47,1,2.14893617,1,47
1,312,1,1303486511,2011-04-22 15:35:11,29:20.0,351.42472,48,1,2.125,1,48
1,139,2,1304004287,2011-04-28 15:24:47,35:11.4,517775.7737,49,1,2.12244898,2,49
1,324,1,1304034494,2011-04-28 23:48:14,24:47.2,30206.58007,50,1,2.1,1,50
1,356,1,1304098160,2011-04-29 17:29:20,48:13.7,63665.83862,51,1,2.078431373,1,51
